'CognitiveVirus.conservation' depends on axioms: [propext, Quot.sound]
'CognitiveVirus.dU_factor' depends on axioms: [propext, Quot.sound]
'CognitiveVirus.dC_reduced' depends on axioms: [propext, Quot.sound]
'CognitiveVirus.dC_linearization_EU' depends on axioms: [propext, Quot.sound]
'CognitiveVirus.EU_det' depends on axioms: [propext, Quot.sound]
'CognitiveVirus.interior_linearization' depends on axioms: [propext, Quot.sound]
'CognitiveVirus.gamma_affine' depends on axioms: [propext, Classical.choice, Quot.sound]
'CognitiveVirus.delta_gamma' depends on axioms: [propext, Quot.sound]
'CognitiveVirus.coupled_equilibrium' depends on axioms: [propext, Classical.choice, Quot.sound]
'CognitiveVirus.D_share' depends on axioms: [propext, Classical.choice, Quot.sound]
'CognitiveVirus.offmanifold' depends on axioms: [propext, Classical.choice, Quot.sound]
'CognitiveVirus.root_of_q' depends on axioms: [propext, Classical.choice, Quot.sound]
'CognitiveVirus.U_plus_root' depends on axioms: [propext, Classical.choice, Quot.sound]
'CognitiveVirus.U_minus_root' depends on axioms: [propext, Classical.choice, Quot.sound]
'CognitiveVirus.disc_nonneg_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'CognitiveVirus.width_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'CognitiveVirus.interval_nonempty_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'CognitiveVirus.no_physical_root_of_k_lt_r' depends on axioms: [propext, Classical.choice, Quot.sound]
'CognitiveVirus.U_plus_lt_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'CognitiveVirus.U_minus_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'CognitiveVirus.U_minus_at_TC' depends on axioms: [propext, Classical.choice, Quot.sound]
'CognitiveVirus.U_at_SN' depends on axioms: [propext, Classical.choice, Quot.sound]
'CognitiveVirus.thresholds_coincide' depends on axioms: [propext, Classical.choice, Quot.sound]
'CognitiveVirus.EU_stability_conditions' depends on axioms: [propext, Classical.choice, Quot.sound]
'CognitiveVirus.fprime_signs' depends on axioms: [propext, Classical.choice, Quot.sound]
'CognitiveVirus.interior_eigs_signs' depends on axioms: [propext, Classical.choice, Quot.sound]
